,word,count
1,for,474
2,a,757
3,muse,18
4,of,1094
5,fire,22
6,that,785
7,would,138
8,ascend,1
9,the,1525
10,brightest,2
11,heaven,48
12,invention,9
13,kingdom,6
14,stage,3
15,princes,4
16,to,1196
17,act,35
18,and,1395
19,monarchs,2
20,behold,13
21,swelling,1
22,scene,34
23,then,132
24,should,102
25,warlike,4
26,harry,1
27,like,101
28,himself,23
29,assume,1
30,port,3
31,mars,12
32,at,131
33,his,434
34,heels,3
35,leash,1
37,in,787
38,hounds,2
39,famine,3
40,sword,17
41,crouch,1
42,employment,2
43,but,420
44,pardon,20
45,gentles,1
46,all,258
47,flat,1
48,unraised,1
49,spirits,7
50,have,329
51,dared,1
52,on,178
53,this,355
54,unworthy,5
55,scaffold,1
56,bring,32
57,forth,25
58,so,352
59,great,89
60,an,95
61,object,3
62,can,103
63,cockpit,1
64,hold,28
65,vasty,1
66,fields,3
67,france,50
68,or,196
69,may,108
70,we,189
71,cram,1
72,within,23
73,wooden,1
74,very,49
75,casques,1
76,did,110
77,affright,1
78,air,9
79,agincourt,1
80,since,46
81,crooked,4
82,figure,3
83,attest,1
84,little,18
85,place,24
86,million,2
87,let,112
88,us,78
89,ciphers,1
90,accompt,1
91,your,397
92,imaginary,3
93,forces,3
94,work,14
95,suppose,4
96,girdle,1
97,these,50
98,walls,3
99,are,217
100,now,128
101,confined,4
102,two,36
103,mighty,8
104,monarchies,1
105,whose,60
106,high,20
107,upreared,1
108,abutting,1
109,fronts,1
110,perilous,1
111,narrow,3
112,ocean,4
113,parts,13
114,asunder,1
115,piece,3
116,out,67
117,our,196
118,imperfections,1
119,with,445
120,thoughts,33
121,into,41
122,thousand,17
123,divide,4
124,man,71
125,make,117
126,puissance,1
127,think,70
128,when,197
129,talk,8
130,horses,6
131,you,749
132,see,83
133,them,88
134,printing,1
135,their,124
136,proud,20
137,hoofs,1
139,receiving,2
140,earth,20
141,tis,85
142,must,94
143,deck,1
144,kings,8
145,carry,7
146,here,82
147,there,112
148,jumping,1
149,er,48
150,times,16
151,turning,1
152,accomplishment,1
153,many,45
154,years,5
155,hour,19
156,glass,9
157,which,248
158,supply,1
159,admit,3
160,me,417
161,chorus,1
162,history,3
163,who,71
164,prologue,1
165,humble,9
166,patience,7
167,pray,33
168,gently,3
169,hear,51
170,kindly,3
171,judge,1
172,play,15
173,exit,34
174,london,1
175,ante,1
176,chamber,4
177,king,172
179,palace,19
180,enter,78
181,archbishop,2
182,canterbury,21
183,bishop,2
184,ely,14
185,my,858
186,lord,227
187,ll,89
188,tell,49
189,self,81
190,bill,3
191,is,557
192,urged,2
193,eleventh,1
194,year,13
195,last,13
196,reign,3
197,was,159
198,had,87
199,indeed,30
200,against,46
201,pass,12
202,scambling,1
203,unquiet,1
204,time,122
205,push,1
206,it,460
207,farther,7
208,question,11
209,how,104
210,shall,218
211,resist,1
212,be,399
213,thought,35
214,if,199
215,lose,29
216,better,43
217,half,11
218,possession,4
219,temporal,1
220,lands,1
221,men,47
222,devout,1
223,by,246
224,testament,2
225,given,13
226,church,2
227,they,147
228,strip,1
229,from,194
230,being,52
231,valued,2
232,thus,39
233,as,316
234,much,56
235,maintain,2
236,honour,59
237,full,34
238,fifteen,3
239,earls,1
240,hundred,11
241,knights,2
242,six,7
243,good,128
244,esquires,1
245,relief,2
246,lazars,1
247,weak,8
248,age,23
249,indigent,1
250,faint,2
251,souls,3
252,past,26
253,corporal,2
254,toil,5
255,almshouses,1
256,right,23
257,well,137
258,supplied,1
259,coffers,1
260,beside,4
261,pounds,1
262,runs,4
263,drink,8
264,deep,9
265,twould,4
266,cup,2
267,what,242
268,prevention,1
269,grace,35
270,fair,64
271,regard,2
272,true,61
273,lover,4
274,holy,15
275,courses,3
276,youth,30
277,promised,1
278,not,510
279,breath,11
280,no,222
281,sooner,4
282,left,11
283,father,30
284,body,17
285,wildness,2
286,mortified,1
287,him,277
288,seem,28
289,die,30
290,too,68
291,yea,5
292,moment,3
293,consideration,1
294,angel,7
295,came,11
296,whipp,2
297,offending,1
298,adam,1
299,leaving,1
300,paradise,2
301,envelop,1
302,contain,3
303,celestial,2
304,never,61
305,such,98
306,sudden,3
307,scholar,1
308,made,51
309,reformation,1
310,flood,1
311,heady,1
312,currance,1
313,scouring,1
314,faults,16
315,nor,76
316,hydra,1
317,headed,1
318,wilfulness,2
319,soon,10
320,seat,6
321,once,23
322,blessed,11
323,change,18
324,reason,10
325,divinity,1
326,admiring,2
327,inward,5
328,wish,20
329,desire,16
330,were,93
331,prelate,1
332,debate,4
333,commonwealth,2
334,affairs,5
335,say,106
336,hath,115
337,been,31
338,study,2
339,list,3
340,discourse,2
341,war,27
342,fearful,3
343,battle,2
344,render,6
345,music,6
346,turn,13
347,any,47
348,cause,16
349,policy,6
350,gordian,1
351,knot,4
352,he,354
353,will,244
354,unloose,1
355,familiar,3
356,garter,2
357,speaks,5
358,charter,4
359,libertine,2
360,still,55
361,mute,5
362,wonder,9
363,lurketh,1
364,ears,8
365,steal,15
366,sweet,73
367,honey,5
368,sentences,1
369,art,74
370,practic,1
371,part,35
372,life,58
373,mistress,22
374,theoric,2
375,glean,1
376,addiction,1
377,vain,4
378,companies,1
379,unletter,1
380,rude,6
381,shallow,3
382,hours,17
383,fill,9
384,up,49
385,riots,1
386,banquets,1
387,sports,1
388,noted,3
389,retirement,1
390,sequestration,1
391,open,5
392,haunts,1
393,popularity,1
394,strawberry,1
395,grows,5
396,underneath,1
397,nettle,1
398,wholesome,1
399,berries,1
400,thrive,7
401,ripen,1
402,best,37
403,neighbour,5
404,fruit,2
405,baser,2
406,quality,5
407,prince,9
408,obscured,1
409,contemplation,1
410,under,23
411,veil,2
412,doubt,4
413,grew,6
414,summer,20
415,grass,2
416,fastest,1
417,night,51
418,unseen,5
419,yet,116
420,crescive,1
421,faculty,2
422,miracles,3
423,ceased,1
424,therefore,47
425,needs,12
426,means,12
427,things,35
428,perfected,1
429,mitigation,1
430,commons,1
431,doth,98
432,majesty,24
433,incline,1
434,seems,7
435,indifferent,1
436,rather,23
437,swaying,1
438,more,162
439,upon,108
440,than,115
441,cherishing,1
442,exhibiters,1
443,offer,4
444,spiritual,1
445,convocation,1
446,causes,1
447,hand,46
448,large,7
449,touching,1
450,give,86
451,greater,10
452,sum,5
453,ever,45
454,one,109
455,clergy,2
456,predecessors,1
457,withal,7
458,received,2
459,acceptance,2
460,save,21
461,enough,17
462,perceived,2
463,fain,4
464,done,31
465,severals,1
466,unhidden,1
467,passages,1
468,titles,4
469,some,69
470,certain,9
471,dukedoms,5
472,generally,3
473,crown,10
474,derived,3
475,edward,4
476,grandfather,2
477,impediment,2
478,broke,4
479,off,26
480,french,23
481,ambassador,4
482,instant,6
483,craved,1
484,audience,3
485,come,76
486,hearing,4
487,four,10
488,clock,5
489,go,55
490,know,130
491,embassy,3
492,could,39
493,ready,1
494,guess,6
495,declare,1
496,before,49
497,frenchman,4
498,speak,70
499,word,21
500,wait,5
501,long,32
502,exeunt,39
503,ii,9
504,same,13
505,presence,7
506,henry,13
508,gloucester,1
509,bedford,1
510,exeter,4
511,warwick,1
512,westmoreland,4
513,attendants,11
514,where,94
515,gracious,15
516,send,19
517,uncle,4
518,call,29
519,liege,12
520,cousin,4
521,resolved,2
522,weight,6
523,task,3
524,concerning,1
525,god,34
526,angels,2
527,guard,4
528,sacred,4
529,throne,8
530,become,8
531,sure,15
532,thank,18
533,learned,6
534,proceed,4
535,justly,2
536,religiously,1
537,unfold,2
538,why,57
539,law,12
540,salique,9
541,bar,5
542,claim,9
543,forbid,7
544,dear,45
545,faithful,1
546,fashion,5
547,wrest,1
548,bow,5
549,reading,5
550,nicely,1
551,charge,15
552,understanding,1
553,soul,17
554,opening,2
555,miscreate,1
556,suits,1
557,native,4
558,colours,2
559,truth,49
560,health,9
561,drop,3
562,blood,32
563,approbation,1
564,reverence,1
565,incite,1
566,take,60
567,heed,6
568,impawn,1
569,person,2
570,awake,3
571,sleeping,2
572,name,45
573,kingdoms,5
574,contend,4
575,without,27
576,fall,16
577,guiltless,1
578,drops,2
579,every,51
580,woe,13
581,sore,2
582,complaint,2
583,gainst,11
584,wrong,15
585,gives,14
586,edge,7
587,unto,11
588,swords,4
589,waste,7
590,brief,7
591,mortality,3
592,conjuration,1
593,note,13
594,believe,19
595,heart,85
596,conscience,6
597,wash,2
598,pure,6
599,sin,14
600,baptism,1
601,sovereign,14
602,peers,1
603,owe,5
604,yourselves,3
605,lives,12
606,services,3
607,imperial,2
608,highness,12
609,produce,4
610,pharamond,3
611,terram,1
612,salicam,1
613,mulieres,1
614,ne,17
615,succedant,1
616,woman,22
617,succeed,2
618,land,10
619,unjustly,2
620,gloze,1
621,realm,2
622,founder,2
623,female,5
624,own,73
625,authors,1
626,faithfully,3
627,affirm,1
628,germany,2
629,between,12
630,floods,2
631,sala,3
632,elbe,2
633,charles,7
634,having,10
635,subdued,3
636,saxons,2
637,behind,7
638,settled,2
639,holding,2
640,disdain,7
641,german,2
642,women,11
643,dishonest,1
644,manners,8
645,establish,1
646,wit,9
647,inheritrix,1
648,said,18
649,twixt,3
650,day,50
651,meisen,1
652,appear,9
653,devised,2
654,possess,1
655,until,6
656,twenty,8
657,after,32
658,defunction,1
659,idly,2
660,supposed,5
661,died,6
662,redemption,1
663,beyond,2
664,river,2
665,eight,2
666,five,10
667,besides,3
668,writers,2
669,pepin,3
670,deposed,1
671,childeric,1
672,heir,7
673,general,16
674,descended,1
675,blithild,1
676,daughter,24
677,clothair,1
678,title,12
679,hugh,2
680,capet,3
681,also,2
682,usurped,1
683,duke,31
684,lorraine,2
685,sole,4
686,male,1
687,line,8
688,stock,1
689,find,46
690,shows,12
691,through,13
692,corrupt,9
693,naught,1
694,convey,3
695,lady,27
696,lingare,1
697,charlemain,2
698,son,39
699,lewis,4
700,emperor,2
701,tenth,2
702,usurper,1
703,keep,26
704,quiet,2
705,wearing,2
706,till,37
707,satisfied,1
708,queen,19
709,isabel,1
710,grandmother,1
711,lineal,1
712,ermengare,1
713,foresaid,1
714,marriage,9
715,re,11
716,united,1
717,clear,4
718,sun,15
719,satisfaction,2
720,do,219
721,howbeit,1
722,claiming,1
723,choose,10
724,hide,8
725,net,1
726,amply,1
727,imbar,1
728,usurp,1
729,progenitors,1
730,head,14
731,dread,2
732,book,8
733,numbers,6
734,writ,13
735,dies,4
736,inheritance,2
737,descend,1
738,stand,27
739,unwind,1
740,bloody,7
741,flag,2
742,look,45
743,back,14
744,ancestors,5
745,grandsire,1
746,tomb,8
747,whom,40
748,invoke,1
749,spirit,16
750,black,19
751,ground,6
752,tragedy,1
753,making,14
754,defeat,4
755,power,33
756,whiles,2
757,most,84
758,hill,1
759,stood,6
760,smiling,3
761,lion,4
762,whelp,1
763,forage,1
764,nobility,3
765,noble,27
766,english,4
767,entertain,4
768,pride,13
769,another,24
770,laughing,2
771,cold,16
772,action,8
773,remembrance,11
774,valiant,6
775,dead,34
776,puissant,2
777,arm,7
778,renew,2
779,feats,1
780,sit,14
781,courage,2
782,renowned,1
783,veins,3
784,thrice,6
785,morn,3
786,ripe,2
787,exploits,1
788,enterprises,1
789,brother,16
790,expect,1
791,rouse,2
792,yourself,12
793,former,6
794,lions,1
795,might,53
796,england,6
797,nobles,2
798,richer,3
799,loyal,1
800,subjects,3
801,hearts,13
802,bodies,2
803,lie,20
804,pavilion,2
805,follow,13
806,win,9
807,aid,9
808,whereof,6
809,spiritualty,1
810,raise,1
811,only,33
812,invade,1
813,lay,13
814,down,23
815,proportions,3
816,defend,3
817,scot,4
818,road,1
819,advantages,1
820,those,52
821,marches,1
822,wall,1
823,sufficient,1
824,inland,1
825,pilfering,1
826,borderers,1
827,mean,7
828,coursing,1
829,snatchers,1
830,fear,23
831,main,8
832,intendment,1
833,giddy,1
834,read,14
835,went,3
836,unfurnish,1
837,pouring,1
838,tide,2
839,breach,3
840,ample,4
841,brim,2
842,fulness,2
843,force,7
844,galling,1
845,gleaned,1
846,hot,6
847,assays,1
848,girding,1
849,grievous,1
850,siege,3
851,castles,2
852,towns,1
853,empty,1
854,defence,6
855,shook,3
856,trembled,1
857,ill,29
858,neighbourhood,1
859,she,165
860,harm,4
861,her,282
862,exampled,1
863,herself,11
864,chivalry,1
865,mourning,3
866,widow,41
867,defended,1
868,taken,11
869,impounded,1
870,stray,1
871,scots,1
872,fame,7
873,prisoner,1
874,chronicle,2
875,rich,17
876,praise,33
877,ooze,1
878,bottom,3
879,sea,13
880,sunken,1
881,wreck,2
882,sunless,1
883,treasuries,1
884,saying,2
885,old,42
886,scotland,1
887,first,129
888,begin,9
889,eagle,2
890,prey,4
891,unguarded,1
892,nest,2
893,weasel,1
894,comes,27
895,sneaking,1
896,sucks,1
897,princely,1
898,eggs,1
899,playing,1
900,mouse,1
901,absence,7
902,cat,8
903,tear,2
904,havoc,1
905,eat,12
906,follows,3
907,stay,22
908,home,27
909,crush,2
910,necessity,4
911,locks,1
912,safeguard,1
913,necessaries,1
914,pretty,9
915,traps,1
916,catch,7
917,petty,5
918,thieves,1
919,while,11
920,armed,2
921,fight,6
922,abroad,4
923,advised,3
924,defends,1
925,itself,17
926,government,1
927,though,61
928,low,6
929,lower,2
930,put,30
931,consent,5
932,congreeing,1
933,natural,3
934,close,4
935,state,27
936,divers,4
937,functions,1
938,setting,3
939,endeavour,1
940,continual,2
941,motion,10
942,fixed,4
943,aim,3
944,butt,2
945,obedience,1
946,bees,1
947,creatures,4
948,rule,2
949,nature,45
950,teach,4
951,order,3
952,peopled,1
953,officers,3
954,sorts,2
955,magistrates,1
956,correct,2
957,others,25
958,merchants,1
959,venture,3
960,trade,1
961,soldiers,11
962,stings,3
963,boot,3
964,velvet,4
965,buds,5
966,pillage,1
967,merry,6
968,march,4
969,tent,2
970,royal,8
971,busied,1
972,surveys,1
973,singing,1
974,masons,1
975,building,2
976,roofs,1
977,gold,10
978,civil,3
979,citizens,2
980,kneading,1
981,poor,47
982,mechanic,1
983,porters,1
984,crowding,1
985,heavy,13
986,burdens,1
987,gate,4
988,sad,14
989,eyed,2
990,justice,5
991,surly,2
992,hum,1
993,delivering,2
994,executors,1
995,pale,4
996,lazy,1
997,yawning,1
998,drone,1
999,infer,1
1000,reference,2
1001,contrariously,1
1002,arrows,1
1003,loosed,1
1004,several,5
1005,ways,7
1006,mark,11
1007,meet,8
1008,town,1
1009,fresh,7
1010,streams,2
1011,salt,3
1012,lines,9
1013,dial,5
1014,centre,2
1015,actions,1
1016,afoot,1
1017,end,24
1018,purpose,15
1019,borne,4
1020,happy,17
1021,quarter,2
1022,gallia,1
1023,shake,8
1024,powers,4
1025,cannot,51
1026,doors,2
1027,dog,2
1028,worried,1
1029,nation,3
1030,hardiness,1
1031,messengers,6
1032,sent,9
1033,dauphin,12
1034,help,22
1035,yours,20
1036,sinews,1
1037,ours,5
1038,bend,3
1039,awe,1
1040,break,11
1041,pieces,2
1042,ruling,1
1043,empery,1
1044,almost,10
1045,kingly,3
1046,bones,5
1047,urn,1
1048,tombless,1
1049,over,9
1050,either,11
1051,mouth,7
1052,freely,5
1053,acts,3
1054,else,19
1055,grave,7
1056,turkish,1
1057,tongueless,1
1058,worshipp,1
1059,waxen,1
1060,epitaph,3
1061,ambassadors,2
1062,prepared,1
1063,pleasure,28
1064,greeting,3
1066,please,18
1067,leave,42
1068,sparingly,1
1069,show,36
1070,far,31
1071,meaning,6
1072,tyrant,4
1073,christian,2
1074,passion,7
1075,subject,7
1076,wretches,1
1077,fetter,1
1078,prisons,1
1079,frank,3
1080,uncurbed,1
1081,plainness,1
1082,mind,24
1083,few,3
1084,lately,4
1085,sending,2
1086,predecessor,1
1087,third,3
1088,answer,24
1089,master,21
1090,says,15
1091,savour,3
1092,bids,4
1093,nought,5
1094,nimble,3
1095,galliard,1
1096,won,9
1097,revel,2
1098,sends,2
1099,meeter,1
1100,tun,2
1101,treasure,10
1102,lieu,1
1103,desires,4
1104,tennis,1
1105,balls,4
1106,glad,6
1107,pleasant,3
1108,present,20
1109,pains,8
1110,rackets,1
1111,set,22
1112,strike,3
1113,hazard,3
1114,match,5
1115,wrangler,1
1116,courts,1
1117,disturb,1
1118,chaces,1
1119,understand,9
1120,wilder,1
1121,days,22
1122,measuring,1
1123,use,32
1124,living,13
1125,hence,17
1126,ourself,1
1127,barbarous,1
1128,licence,2
1129,common,14
1130,merriest,1
1131,sail,4
1132,greatness,3
1133,laid,7
1134,plodded,1
1135,working,1
1136,rise,3
1137,glory,9
1138,dazzle,1
1139,eyes,67
1140,blind,7
1141,mock,9
1142,gun,1
1143,stones,2
1144,charged,2
1145,wasteful,3
1146,vengeance,1
1147,fly,11
1148,widows,1
1149,husbands,1
1150,mothers,3
1151,sons,3
1152,ungotten,1
1153,unborn,1
1154,curse,3
1155,scorn,7
1156,lies,19
1157,appeal,2
1158,am,125
1159,coming,8
1160,venge,1
1161,rightful,1
1162,hallow,1
1163,get,10
1164,peace,8
1165,jest,2
1166,thousands,1
1167,weep,9
1168,laugh,6
1169,safe,2
1170,conduct,2
1171,fare,8
1172,hope,30
1173,sender,2
1174,blush,4
1175,lords,20
1176,omit,1
1177,furtherance,1
1178,expedition,1
1179,run,10
1180,business,24
1181,wars,17
1182,collected,2
1183,reasonable,1
1184,swiftness,1
1185,add,6
1186,feathers,3
1187,wings,3
1188,chide,7
1189,door,2
1190,foot,9
1191,brought,8
1192,wet,2
1193,eye,49
1194,thou,334
1195,consum,1
1196,st,83
1197,thy,359
1198,single,6
1199,ah,8
1200,issueless,1
1201,shalt,16
1202,hap,1
1203,world,60
1204,wail,2
1205,thee,240
1206,makeless,1
1207,wife,41
1208,form,10
1209,hast,27
1210,private,3
1211,children,4
1212,husband,19
1213,shape,6
1214,unthrift,1
1215,spend,7
1216,shifts,1
1217,enjoys,1
1218,beauty,64
1219,kept,10
1220,unused,3
1221,user,1
1222,destroys,1
1223,love,279
1224,toward,3
1225,bosom,8
1226,sits,3
1227,murd,3
1228,rous,3
1229,shame,14
1230,commits,3
1231,10,1
1232,deny,9
1233,bear,21
1234,unprovident,1
1235,grant,10
1236,wilt,20
1237,beloved,6
1238,none,32
1239,lov,14
1240,evident,1
1241,possessed,2
1242,hate,25
1243,stick,1
1244,conspire,1
1245,seeking,1
1246,beauteous,8
1247,roof,1
1248,ruinate,1
1249,repair,3
1250,chief,3
1251,fairer,8
1252,lodged,1
1253,gentle,18
1254,kind,17
1255,least,8
1256,hearted,1
1257,prove,20
1258,live,49
1259,thine,59
1260,11,1
1261,fast,4
1262,wane,1
1263,grow,17
1264,departest,1
1265,youngly,1
1266,bestow,5
1267,mayst,15
1268,convertest,1
1269,herein,1
1270,wisdom,8
1271,increase,6
1272,folly,7
1273,decay,9
1274,minded,1
1275,cease,3
1276,threescore,1
1277,away,52
1278,store,12
1279,harsh,3
1280,featureless,1
1281,barrenly,1
1282,perish,1
1283,endowed,1
1284,gave,17
1285,bounteous,1
1286,gift,10
1287,shouldst,8
1288,bounty,3
1289,cherish,2
1290,carved,1
1291,seal,2
1292,meant,2
1293,thereby,1
1294,print,1
1295,copy,4
1296,12,1
1297,count,43
1298,tells,3
1299,brave,7
1300,sunk,1
1301,hideous,2
1302,violet,2
1303,prime,4
1304,sable,1
1305,curls,2
1306,silvered,1
1307,white,8
1308,lofty,2
1309,trees,2
1310,barren,5
1311,leaves,8
1312,erst,1
1313,heat,7
1314,canopy,2
1315,herd,2
1316,green,7
1317,girded,1
1318,sheaves,1
1319,bier,1
1320,bristly,1
1321,beard,5
1322,among,6
1323,wastes,3
1324,sweets,5
1325,beauties,4
1326,themselves,15
1327,forsake,4
1328,nothing,54
1329,scythe,4
1330,breed,3
1331,takes,5
1332,13,1
1333,longer,8
1334,prepare,2
1335,semblance,1
1336,other,44
1337,lease,4
1338,determination,1
1339,again,41
1340,decease,2
1341,issue,6
1342,lets,1
1343,house,20
1344,husbandry,1
1345,uphold,1
1346,stormy,1
1347,gusts,1
1348,winter,5
1349,rage,5
1350,death,42
1351,eternal,8
1352,unthrifts,1
1353,14,1
1354,stars,8
1355,judgement,2
1356,pluck,10
1357,methinks,7
1358,astronomy,1
1359,evil,6
1360,luck,2
1361,plagues,2
1362,dearths,1
1363,seasons,3
1364,fortune,37
1365,minutes,5
1366,pointing,2
1367,each,19
1368,thunder,1
1369,rain,4
1370,wind,6
1371,oft,16
1372,predict,1
1373,knowledge,11
1374,derive,3
1375,constant,3
1376,together,9
1377,wouldst,4
1378,convert,1
1379,prognosticate,1
1380,doom,5
1381,date,6
1382,15,1
1383,consider,2
1384,thing,19
1385,holds,11
1386,perfection,4
1387,huge,2
1388,presenteth,1
1389,whereon,3
1390,secret,1
1391,influence,3
1392,comment,2
1393,perceive,4
1394,plants,1
1395,cheered,1
1396,checked,1
1397,even,33
1398,sky,2
1399,vaunt,1
1400,youthful,3
1401,sap,1
1402,height,4
1403,decrease,1
1404,wear,11
1405,memory,7
1406,conceit,3
1407,inconstant,2
1408,sets,3
1409,sight,17
1410,debateth,1
1411,sullied,1
1412,engraft,1
1413,new,30
1414,16,1
1415,wherefore,8
1416,mightier,1
1417,way,24
1418,fortify,2
1419,rhyme,7
1420,top,3
1421,maiden,9
1422,gardens,1
1423,unset,1
1424,virtuous,10
1425,flowers,7
1426,liker,1
1427,painted,5
1428,counterfeit,5
1429,pencil,2
1430,pupil,1
1431,pen,12
1432,neither,10
1433,worth,28
1434,outward,8
1435,keeps,7
1436,drawn,3
1437,skill,13
1438,17,1
1439,verse,15
1440,filled,3
1441,deserts,3
1442,knows,25
1443,hides,1
1444,write,18
1445,number,4
1446,graces,6
1447,poet,4
1448,heavenly,4
1449,touches,6
1450,touched,1
1451,earthly,2
1452,faces,2
1453,papers,1
1454,yellowed,1
1455,scorned,1
1456,less,12
1457,tongue,27
1458,rights,2
1459,termed,1
1460,stretched,1
1461,metre,1
1462,antique,5
1463,song,6
1464,child,13
1465,alive,4
1466,twice,5
1467,18,1
1468,compare,6
1469,lovely,6
1470,temperate,1
1471,rough,2
1472,winds,4
1473,darling,2
1474,short,9
1475,sometime,8
1476,shines,3
1477,often,8
1478,complexion,3
1479,dimmed,1
1480,declines,1
1481,chance,1
1482,changing,2
1483,course,9
1484,untrimmed,1
1485,fade,2
1486,ow,2
1487,brag,1
1488,wand,2
1489,rest,17
1490,shade,4
1491,breathe,5
1492,19,1
1493,devouring,1
1494,blunt,3
1495,paws,1
1496,devour,1
1497,brood,1
1498,keen,2
1499,teeth,3
1500,fierce,3
1501,tiger,1
1502,jaws,1
1503,burn,4
1504,lived,5
1505,phoenix,2
1506,sorry,5
1507,fleet,1
1508,whate,4
1509,swift,6
1510,footed,1
1511,wide,8
1512,fading,2
1513,heinous,1
1514,crime,4
1515,carve,1
1516,brow,8
1517,draw,9
1518,untainted,1
1519,allow,3
1520,pattern,2
1521,succeeding,2
1522,worst,10
1523,despite,5
1524,young,28
1525,20,1
1526,face,24
1527,acquainted,5
1528,shifting,1
1529,false,24
1530,bright,12
1531,theirs,2
1532,rolling,1
1533,gilding,2
1534,whereupon,1
1535,gazeth,1
1536,hue,5
1537,hues,1
1538,controlling,2
1539,steals,2
1540,amazeth,1
1541,wert,4
1542,created,3
1543,wrought,2
1544,fell,6
1545,doting,2
1546,addition,3
1547,defeated,1
1548,adding,1
1549,pricked,1
1550,mine,116
1551,21,1
1552,stirred,1
1553,ornament,4
1554,rehearse,4
1555,couplement,1
1556,moon,3
1557,gems,1
1558,april,3
1559,born,19
1560,rare,8
1561,rondure,1
1562,hems,1
1563,truly,13
1564,mother,35
1565,candles,1
1566,hearsay,1
1567,sell,2
1568,22,1
1569,persuade,1
1570,furrows,1
1571,expiate,1
1572,cover,3
1573,seemly,1
1574,raiment,1
1575,breast,9
1576,elder,1
1577,thyself,7
1578,wary,1
1579,bearing,3
1580,chary,1
1581,tender,11
1582,nurse,1
1583,babe,4
1584,faring,1
1585,presume,3
1586,slain,2
1587,gav,3
1588,23,1
1589,unperfect,1
1590,actor,2
1591,replete,3
1592,strength,12
1593,abundance,4
1594,weakens,1
1595,trust,13
1596,forget,6
1597,perfect,6
1598,ceremony,3
1599,rite,2
1600,ercharged,1
1601,burthen,2
1602,looks,19
1603,eloquence,1
1604,dumb,9
1605,presagers,1
1606,speaking,7
1607,plead,4
1608,recompense,2
1609,expressed,3
1610,learn,4
1611,silent,3
1612,belongs,3
1613,fine,10
1614,24,1
1615,played,2
1616,painter,3
1617,stelled,1
1618,table,2
1619,frame,5
1620,wherein,10
